EDC,EDO
-3.639041048,-5.728957725
0.040069696,0.033860147
-0.037126036,0.054120009
0.354171901,0.570976001
0.009377891,0.132665966
0.092260557,0.055515636
0.091244211,0.243300709
-0.105432744,0.12226377
0.370701347,0.349128038
0.186796679,-0.009325142
-0.11504823,-0.102531887
0.121284112,0.149042443
-0.364971597,-0.200317325
-0.784525145,-0.431246012
-0.121883602,-0.054764153
-0.028925042,-0.092613201
0.004206227,0.013980434
-0.019860338,0.059678914
-0.116377206,-0.031925051
0.337606277,0.322266078
-0.039825774,-0.068290727
0.091136454,0.073413422
1.000897024,0.172224234
0.1308499,-0.224239044
-0.008326217,0.011952837
0.00778517,0.019307184
-4.981675878,-3.532652257
0.036240523,0.026642761
0.136395508,0.068378865
0.426260483,0.287207596
0.02522316,0.104573305
0.39671912,0.055072072
0.199849539,0.252032448
0.062909408,-0.10604966
0.778537434,0.081392753
-0.030896926,-0.002179795
-0.111073827,-0.079410271
0.241302202,0.151127062
-0.597062344,-0.190192343
-1.086212929,-0.430190595
-0.174330351,-0.079211035
-0.286410799,-0.124811235
0.010900548,-0.084547579
-0.057722638,-0.106352999
-0.180769577,-0.075875631
0.251810559,0.113835726
-0.023848887,-0.03452619
0.164393492,0.163498263
-0.13055126,0.079124522
-0.19572424,-0.181192219
-0.001018385,0.000636872
-0.00020389,0.005790802
-6.344061877,-7.982205941
0.008318824,0.02181064
0.43422101,0.568525549
1.318983123,0.420251219
0.077332434,0.125289363
-0.281666467,-0.008894275
-0.015890968,0.093577831
0.295937264,0.102489013
-4.807969829,0.635327911
-4.182366777,-0.658900127
0.80139134,-0.295458626
-0.096619163,0.357741225
0.344575547,0.186980721
-0.605360043,0.251871169
-0.494616913,-0.397219318
-0.705593671,-0.155504955
-1.326145999,-0.07039898
-0.430546883,-0.257829159
-0.095534398,0.001559606
0.264308896,0.320550527
-0.097211132,-0.10367733
0.084090767,0.192087591
-3.826194383,-0.638003811
-0.479955893,-0.731022108
0.084697157,0.021408951
0.020897815,0.02493788
