4:(Intercept),4:age_dx,4:sexM,4:smokingY,4:c_chf,4:c_ihd,4:c_cancer,4:c_dm,4:c_asthma,4:c_dementia,4:c_depression,4:c_anxiety,4:c_htn,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,5:(Intercept),5:age_dx,5:sexM,5:smokingY,5:c_chf,5:c_ihd,5:c_cancer,5:c_dm,5:c_asthma,5:c_dementia,5:c_depression,5:c_anxiety,5:c_htn,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,7:(Intercept),7:age_dx,7:sexM,7:smokingY,7:c_chf,7:c_ihd,7:c_cancer,7:c_dm,7:c_asthma,7:c_dementia,7:c_depression,7:c_anxiety,7:c_htn,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o
-0.0013184,0.0000159,0.0001149,-0.0000145,-0.0000072,-0.0000890,-0.0000298,-0.0000008,0.0000424,-0.0022710,0.0067236,-0.0005188,-0.0000333,0.0000062,0.0000374,0.0001245,0.0000362,0.0001265,0.0000619,-0.0000256,0.0000345,-0.0000102,-0.0000138,-0.0000691,0.0000010,0.0000049,-0.0000093,-0.0000004,-0.0000049,-0.0000039,-0.0000037,-0.0000022,-0.0002322,0.0004481,-0.0000350,0.0000000,-0.0000025,0.0000007,0.0000023,-0.0000019,0.0000057,0.0000035,0.0000004,0.0000027,-0.0000005,-0.0000018,-0.0000707,0.0000011,0.0000105,-0.0000228,-0.0000100,0.0000015,-0.0000038,-0.0000034,-0.0000133,-0.0003200,0.0006503,-0.0000456,0.0000041,-0.0000055,-0.0000085,0.0000159,-0.0000008,0.0000026,0.0000039,0.0000037,-0.0000081,0.0000009,-0.0000016
-0.0009818,0.0000084,0.0001427,0.0000156,-0.0000290,-0.0000235,-0.0000621,0.0000530,-0.0000828,-0.0004117,-0.0005188,0.0021233,-0.0000240,0.0000596,0.0000929,-0.0000187,0.0000489,-0.0000183,-0.0000275,-0.0000018,0.0000085,-0.0000120,0.0000117,-0.0000722,0.0000006,0.0000124,0.0000020,-0.0000037,-0.0000034,-0.0000055,0.0000033,-0.0000014,-0.0000326,-0.0000344,0.0001325,-0.0000016,0.0000051,0.0000077,-0.0000001,0.0000019,-0.0000021,-0.0000010,0.0000006,-0.0000006,-0.0000007,0.0000005,-0.0000634,0.0000004,0.0000131,-0.0000026,-0.0000053,-0.0000048,-0.0000076,0.0000034,0.0000001,-0.0000335,-0.0000451,0.0001733,-0.0000022,0.0000102,0.0000155,0.0000001,0.0000027,-0.0000002,-0.0000050,-0.0000023,0.0000020,-0.0000002,0.0000002
0.0002384,-0.0000165,0.0000602,0.0000303,-0.0001386,-0.0001853,-0.0000420,-0.0002749,0.0000004,-0.0000733,-0.0000333,-0.0000240,0.0016500,0.0000192,-0.0000394,-0.0000231,0.0000167,-0.0000342,-0.0000196,0.0000107,0.0000104,0.0000040,-0.0000192,0.0000329,-0.0000012,0.0000022,0.0000043,-0.0000093,-0.0000172,-0.0000023,-0.0000212,-0.0000012,-0.0000035,-0.0000002,-0.0000016,0.0001040,0.0000007,-0.0000030,-0.0000026,-0.0000001,-0.0000029,-0.0000024,0.0000007,0.0000017,0.0000000,-0.0000008,0.0000230,-0.0000014,0.0000034,0.0000054,-0.0000092,-0.0000194,-0.0000038,-0.0000242,-0.0000015,-0.0000079,0.0000083,-0.0000023,0.0001339,0.0000033,-0.0000055,-0.0000003,-0.0000013,-0.0000094,-0.0000004,0.0000013,0.0000021,-0.0000001,-0.0000005
-0.0006045,0.0000010,-0.0000015,-0.0000071,-0.0000002,-0.0000296,0.0000060,0.0000128,0.0000369,0.0000630,0.0000062,0.0000596,0.0000192,0.0014667,0.0006972,-0.0002009,-0.0002403,-0.0002016,-0.0001338,-0.0000200,0.0000304,-0.0000033,0.0000078,-0.0000448,0.0000000,-0.0000020,-0.0000021,-0.0000017,-0.0000021,0.0000018,0.0000003,0.0000044,0.0000004,-0.0000023,0.0000052,0.0000009,0.0001123,0.0000597,-0.0000182,-0.0000192,-0.0000160,-0.0000104,-0.0000027,0.0000014,0.0000000,0.0000004,-0.0000689,0.0000001,-0.0000020,-0.0000015,-0.0000014,-0.0000051,0.0000028,-0.0000002,0.0000109,0.0000063,-0.0000117,0.0000096,0.0000043,0.0001464,0.0000822,-0.0000271,-0.0000259,-0.0000236,-0.0000122,-0.0000045,0.0000049,-0.0000007,0.0000014
-0.0005630,0.0000037,-0.0000814,-0.0000107,0.0000155,0.0000341,0.0000279,-0.0000166,0.0000927,-0.0000240,0.0000374,0.0000929,-0.0000394,0.0006972,0.0026210,-0.0002391,-0.0002880,-0.0004348,-0.0003287,-0.0000440,0.0000537,-0.0000258,0.0000433,-0.0000213,-0.0000001,-0.0000041,-0.0000036,-0.0000007,0.0000010,0.0000007,-0.0000011,0.0000096,-0.0000063,0.0000010,0.0000078,-0.0000028,0.0000598,0.0001502,-0.0000210,-0.0000237,-0.0000346,-0.0000242,-0.0000050,0.0000006,-0.0000009,0.0000027,-0.0000801,0.0000005,-0.0000059,0.0000034,0.0000104,-0.0000027,-0.0000015,-0.0000079,0.0000239,0.0000066,-0.0000223,0.0000148,-0.0000040,0.0000831,0.0002235,-0.0000339,-0.0000323,-0.0000437,-0.0000249,-0.0000114,0.0000163,-0.0000027,0.0000029
-0.0028440,0.0000023,0.0000365,0.0001062,0.0000416,-0.0000444,-0.0000169,-0.0000781,-0.0000277,0.0000248,0.0001245,-0.0000187,-0.0000231,-0.0002009,-0.0002391,0.0046019,0.0027510,0.0027679,0.0027510,0.0000026,-0.0000356,0.0000013,0.0000041,-0.0002097,0.0000000,0.0000034,0.0000039,0.0000090,0.0000025,0.0000007,-0.0000019,-0.0000020,0.0000116,0.0000032,0.0000007,-0.0000027,-0.0000179,-0.0000219,0.0003614,0.0002153,0.0002175,0.0002150,0.0000014,-0.0000016,-0.0000001,0.0000010,-0.0002489,0.0000000,0.0000042,0.0000015,0.0000063,0.0000051,0.0000024,-0.0000040,-0.0000060,0.0000059,0.0000205,0.0000017,-0.0000007,-0.0000258,-0.0000306,0.0004414,0.0002567,0.0002572,0.0002537,0.0000022,-0.0000089,0.0000010,0.0000012
-0.0029729,0.0000040,0.0000973,0.0000252,-0.0000156,-0.0000606,0.0000117,-0.0000699,0.0000570,0.0000160,0.0000362,0.0000489,0.0000167,-0.0002403,-0.0002880,0.0027510,0.0043226,0.0027795,0.0027672,-0.0000123,0.0000008,-0.0000003,0.0000045,-0.0002113,0.0000001,0.0000071,-0.0000021,0.0000050,-0.0000006,-0.0000006,-0.0000003,0.0000025,0.0000106,-0.0000021,0.0000021,-0.0000003,-0.0000190,-0.0000238,0.0002156,0.0003193,0.0002177,0.0002162,0.0000007,-0.0000019,-0.0000003,0.0000006,-0.0002671,0.0000004,0.0000089,0.0000001,0.0000019,-0.0000026,0.0000014,-0.0000039,0.0000021,0.0000061,-0.0000040,0.0000021,-0.0000014,-0.0000266,-0.0000327,0.0002570,0.0003869,0.0002600,0.0002576,-0.0000008,-0.0000032,0.0000001,0.0000007
-0.0030307,0.0000048,0.0001244,0.0000333,0.0000282,-0.0000129,0.0000358,-0.0000812,0.0000238,0.0001188,0.0001265,-0.0000183,-0.0000342,-0.0002016,-0.0004348,0.0027679,0.0027795,0.0040392,0.0027985,0.0000019,-0.0000312,-0.0000029,0.0000168,-0.0002153,0.0000001,0.0000098,-0.0000012,0.0000061,0.0000017,0.0000016,-0.0000038,-0.0000013,0.0000168,0.0000064,-0.0000015,-0.0000032,-0.0000156,-0.0000341,0.0002176,0.0002175,0.0003080,0.0002191,0.0000003,-0.0000023,-0.0000003,0.0000015,-0.0002606,0.0000003,0.0000124,0.0000009,0.0000044,0.0000014,0.0000020,-0.0000095,0.0000017,0.0000187,0.0000010,0.0000010,-0.0000106,-0.0000237,-0.0000438,0.0002581,0.0002598,0.0003766,0.0002582,0.0000014,-0.0000028,-0.0000007,0.0000027
-0.0032424,0.0000077,0.0001484,0.0000171,0.0000141,-0.0000619,0.0000379,-0.0000839,0.0000172,0.0000840,0.0000619,-0.0000275,-0.0000196,-0.0001338,-0.0003287,0.0027510,0.0027672,0.0027985,0.0038233,0.0000082,-0.0000167,-0.0000050,0.0000035,-0.0002322,0.0000004,0.0000121,-0.0000025,0.0000052,0.0000006,0.0000029,-0.0000044,-0.0000008,0.0000138,0.0000047,-0.0000005,-0.0000026,-0.0000100,-0.0000239,0.0002154,0.0002163,0.0002194,0.0002909,0.0000006,-0.0000007,-0.0000004,0.0000007,-0.0003095,0.0000009,0.0000174,0.0000013,0.0000007,0.0000000,0.0000019,-0.0000090,-0.0000030,0.0000035,0.0000016,-0.0000046,-0.0000020,-0.0000122,-0.0000273,0.0002540,0.0002568,0.0002581,0.0003590,0.0000030,0.0000027,-0.0000019,0.0000019
-0.0000182,0.0000001,-0.0000028,0.0000186,0.0000245,0.0000203,0.0000222,-0.0000043,-0.0000295,0.0000133,-0.0000256,-0.0000018,0.0000107,-0.0000200,-0.0000440,0.0000026,-0.0000123,0.0000019,0.0000082,0.0001440,-0.0001156,-0.0000075,0.0000124,0.0000023,0.0000000,-0.0000002,0.0000000,0.0000013,0.0000020,0.0000018,0.0000004,-0.0000027,0.0000024,-0.0000005,0.0000003,0.0000007,-0.0000022,-0.0000038,0.0000008,0.0000005,-0.0000001,0.0000004,0.0000130,-0.0000118,-0.0000005,0.0000009,0.0000105,-0.0000001,-0.0000034,-0.0000026,-0.0000016,0.0000042,0.0000021,0.0000003,-0.0000121,0.0000004,0.0000137,-0.0000027,0.0000017,-0.0000052,-0.0000146,0.0000041,-0.0000020,0.0000017,0.0000042,0.0000290,-0.0000144,-0.0000029,0.0000036
