4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former
-0.0016747,0.0000157,0.0003078,-0.0000035,-0.0000414,-0.0003627,0.0000928,-0.0001531,-0.0010723,-0.0010688,0.0045310,-0.0000978,0.0001511,0.0001194,-0.0002103,-0.0001326,-0.0002315,-0.0001247,0.0000138,0.0000185,-0.0000295,0.0000270,-0.0001539,0.0000607,-0.0007496,0.0000070,0.0001333,-0.0000245,-0.0000282,-0.0001598,0.0000214,-0.0000637,-0.0005882,-0.0003869,0.0018264,-0.0000227,0.0000808,0.0000781,-0.0000903,-0.0001057,-0.0001450,-0.0000772,0.0000032,0.0000136,-0.0000086,-0.0000006,-0.0000269,0.0000587,-0.0011313,0.0000127,0.0001269,0.0000345,0.0000069,-0.0001731,0.0000245,-0.0000844,0.0000020,-0.0000008,0.0017725,-0.0000259,-0.0000282,-0.0000742,-0.0001152,-0.0001004,-0.0001621,-0.0000804,-0.0000126,0.0000384,-0.0000161,0.0000185,0.0000585,0.0000998
0.0004241,-0.0000303,0.0001878,-0.0003563,-0.0003301,0.0000043,-0.0005381,-0.0001274,-0.0003365,0.0000145,-0.0000978,0.0031008,-0.0000791,-0.0000598,-0.0000359,0.0000521,-0.0000342,-0.0000847,0.0000417,-0.0000149,0.0000036,-0.0000446,0.0003446,-0.0000511,0.0003345,-0.0000135,0.0000597,-0.0001452,-0.0001611,0.0000118,-0.0002424,-0.0000611,-0.0001507,0.0000262,-0.0000244,0.0012297,-0.0000381,-0.0000418,-0.0000413,0.0000137,-0.0000454,-0.0000436,0.0000134,0.0000038,-0.0000007,-0.0000132,0.0001372,-0.0000227,0.0003957,-0.0000143,0.0000438,-0.0001554,-0.0001673,0.0000160,-0.0002302,-0.0000564,-0.0000004,0.0000005,-0.0000400,0.0012369,-0.0000298,-0.0000154,-0.0000356,0.0000011,-0.0000468,-0.0000380,0.0000122,0.0000066,0.0000014,-0.0000156,0.0001184,-0.0000267
-0.0018666,0.0000061,-0.0000083,0.0000463,0.0000013,-0.0000844,0.0000757,0.0000474,-0.0000431,0.0001613,0.0001511,-0.0000791,0.0031246,0.0016951,-0.0002942,-0.0004390,-0.0003719,-0.0003328,-0.0000089,0.0000499,-0.0000052,0.0000148,0.0000882,0.0000698,-0.0006771,-0.0000001,0.0000047,-0.0000211,0.0000020,-0.0000431,0.0000548,0.0000542,-0.0000535,0.0000643,0.0000843,-0.0000361,0.0013818,0.0008297,-0.0001270,-0.0001902,-0.0001544,-0.0001486,0.0000045,0.0000011,-0.0000017,0.0000043,-0.0000007,0.0000013,-0.0010096,0.0000037,0.0000092,0.0000423,-0.0000111,-0.0000423,0.0000441,0.0000381,0.0000012,-0.0000021,0.0000364,-0.0000243,0.0013975,0.0008420,-0.0001507,-0.0001843,-0.0001591,-0.0001482,0.0000013,0.0000374,-0.0000080,0.0000176,0.0000329,0.0000071
-0.0014930,0.0000046,-0.0000895,0.0000891,0.0001292,0.0001524,0.0000856,0.0002007,0.0001932,0.0001491,0.0001194,-0.0000598,0.0016951,0.0048376,-0.0002360,-0.0005284,-0.0008812,-0.0006317,-0.0000841,0.0001321,-0.0000303,0.0000454,0.0002043,0.0000252,-0.0004233,-0.0000020,-0.0000262,-0.0000035,0.0000602,0.0000501,0.0000330,0.0001393,0.0000258,0.0000359,0.0000784,-0.0000314,0.0008318,0.0017243,-0.0000955,-0.0002520,-0.0003895,-0.0002660,-0.0000240,0.0000278,-0.0000096,0.0000219,0.0000433,0.0000110,-0.0005696,0.0000001,-0.0000244,0.0000262,0.0000539,0.0000634,0.0000278,0.0001021,0.0000005,-0.0000015,0.0000361,-0.0000260,0.0008142,0.0016968,-0.0001018,-0.0002339,-0.0003707,-0.0002562,-0.0000368,0.0000567,-0.0000088,0.0000179,0.0000464,-0.0000023
-0.0064917,0.0000044,0.0000025,0.0000872,-0.0000446,0.0002304,-0.0002513,0.0000717,-0.0000041,0.0000809,-0.0002103,-0.0000359,-0.0002942,-0.0002360,0.0101150,0.0061509,0.0061424,0.0061530,0.0000180,-0.0000607,-0.0000003,0.0000118,0.0002378,0.0004039,-0.0028716,0.0000015,0.0000257,0.0000687,0.0000116,0.0001409,-0.0000926,0.0000366,0.0000905,-0.0000495,-0.0000899,-0.0000399,-0.0001289,-0.0001114,0.0044614,0.0027614,0.0027708,0.0027706,0.0000120,-0.0000257,0.0000040,-0.0000023,0.0000409,0.0000983,-0.0028054,0.0000013,0.0000194,-0.0000200,0.0000167,0.0001778,-0.0000870,0.0000716,0.0000035,-0.0000029,-0.0000985,-0.0000426,-0.0000900,0.0000010,0.0043395,0.0027634,0.0027573,0.0027752,0.0000388,-0.0000865,0.0000001,0.0000158,-0.0000308,0.0000505
-0.0063948,0.0000041,0.0000472,0.0001264,-0.0002125,0.0002369,-0.0001046,0.0002082,0.0004157,-0.0000838,-0.0001326,0.0000521,-0.0004390,-0.0005284,0.0061509,0.0091311,0.0062182,0.0062283,0.0000121,-0.0000535,-0.0000067,0.0000223,0.0000437,0.0003418,-0.0027889,0.0000011,0.0000452,0.0000581,-0.0000415,0.0001303,-0.0000255,0.0000929,0.0002994,-0.0001647,-0.0001048,0.0000076,-0.0001832,-0.0002302,0.0027701,0.0040317,0.0028074,0.0028043,0.0000110,-0.0000385,0.0000016,0.0000017,-0.0000178,0.0000640,-0.0025619,-0.0000014,0.0000207,-0.0000025,-0.0000471,0.0001329,-0.0000198,0.0001071,0.0000028,-0.0000020,-0.0000856,-0.0000101,-0.0001238,-0.0001309,0.0027560,0.0039564,0.0027777,0.0027896,0.0000367,-0.0000910,0.0000020,0.0000161,-0.0000945,0.0000371
-0.0061409,0.0000036,0.0000598,0.0001209,-0.0000657,0.0002368,-0.0000756,-0.0000537,0.0002609,0.0000468,-0.0002315,-0.0000342,-0.0003719,-0.0008812,0.0061424,0.0062182,0.0085668,0.0062491,0.0000111,-0.0000654,0.0000063,0.0000042,-0.0000973,0.0001744,-0.0028079,0.0000027,0.0000527,0.0000603,-0.0000053,0.0001138,-0.0000107,-0.0000314,0.0002334,-0.0000068,-0.0001442,-0.0000466,-0.0001530,-0.0004099,0.0027708,0.0028035,0.0038265,0.0028233,-0.0000022,-0.0000114,0.0000047,-0.0000021,-0.0000704,0.0000079,-0.0023637,-0.0000025,0.0000467,-0.0000221,-0.0000050,0.0001351,-0.0000289,0.0000283,0.0000026,-0.0000016,-0.0001205,-0.0000564,-0.0000795,-0.0002027,0.0027516,0.0027757,0.0037335,0.0027978,0.0000407,-0.0000966,0.0000046,0.0000072,-0.0001965,-0.0000651
-0.0068956,0.0000140,0.0000098,0.0001197,-0.0001466,0.0002121,-0.0001915,0.0000848,0.0005025,-0.0003144,-0.0001247,-0.0000847,-0.0003328,-0.0006317,0.0061530,0.0062283,0.0062491,0.0085056,0.0000166,-0.0000636,-0.0000019,0.0000007,-0.0000813,0.0002199,-0.0031583,0.0000070,0.0000479,0.0000686,-0.0000357,0.0001124,-0.0000498,0.0000500,0.0003160,-0.0001906,-0.0000749,-0.0000391,-0.0001453,-0.0002675,0.0027701,0.0028008,0.0028242,0.0037641,-0.0000055,-0.0000072,0.0000019,-0.0000041,-0.0000391,0.0000338,-0.0029827,0.0000049,0.0000367,0.0000148,-0.0000276,0.0001402,-0.0000606,0.0000760,0.0000033,-0.0000025,-0.0000700,-0.0000447,-0.0000950,-0.0001518,0.0027709,0.0027945,0.0028059,0.0037416,0.0000244,-0.0000608,-0.0000030,0.0000205,-0.0001241,-0.0000031
-0.0001685,-0.0000006,-0.0000070,0.0000389,0.0000497,-0.0000058,0.0000244,-0.0000002,0.0000233,-0.0000002,0.0000138,0.0000417,-0.0000089,-0.0000841,0.0000180,0.0000121,0.0000111,0.0000166,0.0001457,-0.0001843,-0.0000102,0.0000355,-0.0000393,0.0000099,-0.0000418,-0.0000007,-0.0000046,0.0000171,0.0000272,0.0000012,0.0000142,0.0000012,0.0000240,0.0000124,0.0000028,0.0000141,0.0000002,-0.0000219,0.0000086,0.0000071,-0.0000016,-0.0000023,0.0000679,-0.0001025,-0.0000039,0.0000156,-0.0000226,0.0000001,-0.0000875,-0.0000003,-0.0000024,0.0000164,0.0000258,0.0000008,0.0000080,0.0000015,0.0000001,-0.0000001,0.0000044,0.0000129,0.0000026,-0.0000307,0.0000149,0.0000127,0.0000091,0.0000099,0.0000741,-0.0001043,-0.0000076,0.0000195,-0.0000173,0.0000018
0.0005356,-0.0000041,0.0000105,-0.0000806,-0.0000673,0.0000046,-0.0000360,-0.0000424,-0.0000573,-0.0000250,0.0000185,-0.0000149,0.0000499,0.0001321,-0.0000607,-0.0000535,-0.0000654,-0.0000636,-0.0001843,0.0004207,-0.0000051,-0.0000460,-0.0001017,-0.0000542,0.0002389,-0.0000018,0.0000095,-0.0000434,-0.0000407,-0.0000149,-0.0000220,-0.0000238,-0.0000599,-0.0000332,0.0000121,-0.0000004,0.0000211,0.0000457,-0.0000274,-0.0000322,-0.0000187,-0.0000128,-0.0000887,0.0002448,-0.0000011,-0.0000263,-0.0000413,-0.0000188,0.0003044,-0.0000025,0.0000029,-0.0000393,-0.0000406,-0.0000125,-0.0000081,-0.0000200,-0.0000003,0.0000005,0.0000083,-0.0000011,0.0000157,0.0000560,-0.0000362,-0.0000371,-0.0000309,-0.0000316,-0.0001005,0.0002606,0.0000010,-0.0000276,-0.0000526,-0.0000252
