shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
-0.0000367406,-0.0030120400,0.0000139509,-0.0004876584,0.0002569964,-0.0000184897,0.0002018942,-0.0000429496,0.0007532925,0.0006914320,-0.0004604025,0.0005070160,0.0000494039,0.0036596330,0.0139450500,-0.0010012250,-0.0010515590,-0.0019304380,-0.0018059110,-0.0002341377,0.0001773660,-0.0000855681,0.0000529033,-0.0006652334,-0.0004161645,0.0000210114,0.0000083717
-0.0000534382,-0.0131401300,0.0000037245,0.0001267220,0.0000546105,0.0005645912,0.0000555081,-0.0003675929,0.0000502657,0.0001719188,0.0004222110,0.0000585056,-0.0002285037,-0.0006885176,-0.0010012250,0.0223197500,0.0124923100,0.0126375600,0.0125910500,0.0001806032,-0.0004382300,-0.0000116233,0.0000497158,0.0025129370,0.0012198450,-0.0000286126,0.0000015715
-0.0000671397,-0.0127423600,0.0000077954,0.0003047409,-0.0002550146,0.0001169228,0.0000404777,-0.0005584598,0.0002391461,-0.0002883456,-0.0001485575,0.0001941770,-0.0001299833,-0.0009002115,-0.0010515590,0.0124923100,0.0205886600,0.0125600200,0.0125719600,0.0001463769,-0.0002199537,-0.0000241220,0.0000651149,0.0011987220,0.0009298535,-0.0000172750,-0.0000055594
0.0000256757,-0.0130977300,0.0000028000,0.0005102879,0.0003744283,0.0004203087,0.0002003640,-0.0005808640,0.0003467040,0.0005969615,0.0002814029,0.0001975210,-0.0002687479,-0.0007420237,-0.0019304380,0.0126375600,0.0125600200,0.0191518700,0.0127971000,0.0001983684,-0.0003918889,-0.0000473282,0.0001649913,0.0016671880,0.0007905381,-0.0000285530,-0.0000036900
0.0001167904,-0.0154472100,0.0000272968,0.0006453683,-0.0000399549,0.0002234590,0.0000548091,-0.0005190953,0.0000636911,0.0000546112,-0.0003704686,0.0004500860,-0.0002416804,-0.0003609979,-0.0018059110,0.0125910500,0.0125719600,0.0127971000,0.0183598100,0.0002382337,-0.0003654763,-0.0000419400,0.0001304410,0.0011511840,0.0010255710,-0.0000169390,0.0000038823
0.0000048837,-0.0003770967,0.0000002268,-0.0000400466,0.0000865104,0.0001022867,0.0000885290,0.0000014344,-0.0002205453,0.0000891731,-0.0001521343,0.0000201456,0.0000302831,-0.0001504083,-0.0002341377,0.0001806032,0.0001463769,0.0001983684,0.0002382337,0.0009618335,-0.0007158245,-0.0000427860,0.0000771576,0.0001751673,0.0000578408,-0.0000008963,0.0000017088
0.0000362935,0.0009932311,-0.0000078451,0.0000449140,-0.0004224458,-0.0003064781,-0.0000124770,-0.0000619979,0.0000593310,-0.0001155899,0.0000451438,-0.0000770934,-0.0000699670,0.0001169891,0.0001773660,-0.0004382300,-0.0002199537,-0.0003918889,-0.0003654763,-0.0007158245,0.0014891930,0.0000026095,-0.0000845019,-0.0002705044,-0.0000626046,-0.0000060937,-0.0000072385
-0.0000056536,0.0001565820,-0.0000009244,-0.0000050436,0.0000037862,0.0000085807,0.0000060192,0.0000009665,-0.0000286291,0.0000083922,-0.0000299410,-0.0000674786,-0.0000047728,0.0000064186,-0.0000855681,-0.0000116233,-0.0000241220,-0.0000473282,-0.0000419400,-0.0000427860,0.0000026095,0.0000308135,-0.0000609759,-0.0000934134,-0.0000553479,0.0000017115,0.0000011697
0.0000304303,-0.0010004290,0.0000045421,0.0000098367,-0.0000289123,-0.0000784822,-0.0000523844,-0.0001097730,0.0001033408,-0.0000386078,-0.0001216444,0.0000857287,-0.0000091270,0.0000077785,0.0000529033,0.0000497158,0.0000651149,0.0001649913,0.0001304410,0.0000771576,-0.0000845019,-0.0000609759,0.0002943274,-0.0000800042,-0.0000056869,0.0000017929,0.0000017695
0.0005082492,-0.0878633200,0.0009299326,-0.0007801423,-0.0001414513,0.0014436530,0.0016382720,0.0013174740,0.0012200700,0.0021615970,-0.0028334540,-0.0013348120,0.0019831350,-0.0006634701,-0.0006652334,0.0025129370,0.0011987220,0.0016671880,0.0011511840,0.0001751673,-0.0002705044,-0.0000934134,-0.0000800042,0.1383155000,0.0154277700,-0.0024189370,-0.0001093632
-0.0001602303,-0.0185183900,0.0001421540,-0.0027741360,0.0000733939,0.0001977303,0.0000521033,0.0001757044,-0.0002764260,0.0010907190,-0.0004288188,-0.0000408259,-0.0000843088,-0.0000861002,-0.0004161645,0.0012198450,0.0009298535,0.0007905381,0.0010255710,0.0000578408,-0.0000626046,-0.0000553479,-0.0000056869,0.0154277700,0.0308142300,-0.0001149060,-0.0005190771
-0.0000058015,0.0012133770,-0.0000143322,-0.0000127506,0.0000196722,-0.0000170462,-0.0000246066,-0.0000157968,0.0000061526,-0.0000425557,0.0000722723,0.0000227135,-0.0000193804,0.0000125816,0.0000210114,-0.0000286126,-0.0000172750,-0.0000285530,-0.0000169390,-0.0000008963,-0.0000060937,0.0000017115,0.0000017929,-0.0024189370,-0.0001149060,0.0000480503,0.0000018189
0.0000086073,0.0000939518,-0.0000016279,0.0000139286,0.0000047684,-0.0000037272,-0.0000031778,-0.0000108547,0.0000215544,-0.0000158137,0.0000071602,0.0000063959,0.0000015994,0.0000048101,0.0000083717,0.0000015715,-0.0000055594,-0.0000036900,0.0000038823,0.0000017088,-0.0000072385,0.0000011697,0.0000017695,-0.0001093632,-0.0005190771,0.0000018189,0.0000142072
