4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,4:smoking_current:smk_time_dx,4:smoking_former:smk_time_dx,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,5:smoking_current:smk_time_dx,5:smoking_former:smk_time_dx,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former,7:smoking_current:smk_time_dx,7:smoking_former:smk_time_dx
-0.00150921,0.00001344,0.00030618,0.00000269,-0.00004584,-0.00036246,0.00009239,-0.00014272,-0.00108322,-0.00106296,0.00453859,-0.00009423,0.00015337,0.00012152,-0.00021333,-0.00014151,-0.00023204,-0.00012534,0.00001334,0.00001666,-0.00002848,0.00002790,-0.00039240,-0.00016305,0.00000489,0.00000646,-0.00067584,0.00000603,0.00013196,-0.00002013,-0.00003187,-0.00016283,0.00002237,-0.00005845,-0.00058925,-0.00038499,0.00182196,-0.00002424,0.00008185,0.00007800,-0.00009154,-0.00010394,-0.00014435,-0.00007549,0.00000314,0.00001253,-0.00000836,0.00000017,-0.00011347,-0.00005944,0.00000182,0.00000350,-0.00055850,0.00000640,0.00010190,0.00003918,-0.00000533,-0.00014585,0.00001840,-0.00008972,0.00000089,-0.00000010,0.00168525,-0.00002156,-0.00005479,-0.00010111,-0.00008106,-0.00008568,-0.00016037,-0.00008136,-0.00000978,0.00003232,-0.00001149,0.00001664,-0.00050602,-0.00017188,0.00000888,0.00000539
0.00028360,-0.00002857,0.00019080,-0.00035830,-0.00033248,0.00000628,-0.00053797,-0.00013037,-0.00034581,0.00001960,-0.00009423,0.00311235,-0.00007568,-0.00005607,-0.00003510,0.00005410,-0.00003621,-0.00008550,0.00004119,-0.00001336,0.00000317,-0.00004507,0.00056109,0.00001517,-0.00000437,-0.00000186,0.00030381,-0.00001306,0.00006027,-0.00014731,-0.00016142,0.00001183,-0.00024272,-0.00006117,-0.00015462,0.00003055,-0.00002562,0.00122929,-0.00003770,-0.00004121,-0.00004069,0.00001619,-0.00004481,-0.00004315,0.00001268,0.00000585,-0.00000084,-0.00001362,0.00017261,0.00002290,-0.00000077,-0.00000135,0.00024072,-0.00001252,0.00004847,-0.00014787,-0.00016403,0.00001896,-0.00022778,-0.00004642,-0.00000021,0.00000009,-0.00003071,0.00120496,-0.00001110,-0.00000456,-0.00002505,0.00000399,-0.00004271,-0.00002567,0.00002118,-0.00000515,-0.00000039,-0.00001181,0.00022019,0.00001192,-0.00000182,-0.00000077
-0.00202044,0.00000791,-0.00000835,0.00004432,0.00000346,-0.00008004,0.00007825,0.00004916,-0.00004572,0.00016667,0.00015337,-0.00007568,0.00312911,0.00169795,-0.00029359,-0.00043855,-0.00036708,-0.00032782,-0.00000908,0.00005099,-0.00000557,0.00001435,0.00033919,0.00006126,-0.00000516,0.00000045,-0.00074040,0.00000079,0.00000678,-0.00002054,0.00000018,-0.00004338,0.00005663,0.00005246,-0.00005743,0.00007048,0.00008450,-0.00003584,0.00138408,0.00083100,-0.00013114,-0.00019416,-0.00015728,-0.00015081,0.00000396,0.00000289,-0.00000184,0.00000430,0.00011422,0.00000649,-0.00000247,-0.00000009,-0.00047995,-0.00000168,0.00000097,0.00005847,-0.00000777,-0.00004579,0.00004071,0.00001138,0.00000018,-0.00000124,0.00002477,-0.00002365,0.00135400,0.00081395,-0.00017173,-0.00022184,-0.00020459,-0.00019580,-0.00000058,0.00004461,-0.00000566,0.00001498,-0.00047786,-0.00019807,0.00000793,0.00000373
-0.00170184,0.00000707,-0.00008707,0.00008835,0.00013146,0.00015121,0.00009066,0.00020866,0.00018691,0.00015860,0.00012152,-0.00005607,0.00169795,0.00485122,-0.00022962,-0.00052840,-0.00087780,-0.00062854,-0.00008472,0.00013439,-0.00003059,0.00004535,0.00054276,0.00002061,-0.00000684,0.00000031,-0.00053732,-0.00000057,-0.00002525,-0.00000308,0.00005908,0.00004824,0.00003514,0.00013688,0.00002108,0.00004112,0.00007740,-0.00003060,0.00083343,0.00172865,-0.00009631,-0.00025422,-0.00039142,-0.00026605,-0.00002479,0.00003102,-0.00000998,0.00002263,0.00024067,0.00004454,-0.00000413,-0.00000085,-0.00022751,-0.00000328,-0.00002490,0.00003009,0.00005342,0.00005849,0.00002802,0.00008097,-0.00000021,-0.00000083,0.00002602,-0.00002935,0.00078922,0.00164080,-0.00011520,-0.00024900,-0.00039173,-0.00027823,-0.00003608,0.00005615,-0.00000733,0.00001719,-0.00025767,-0.00011114,0.00000420,0.00000148
-0.00661849,0.00000551,-0.00000216,0.00007978,-0.00003679,0.00023385,-0.00024879,0.00007734,-0.00000366,0.00008811,-0.00021333,-0.00003510,-0.00029359,-0.00022962,0.01015127,0.00618171,0.00617660,0.00618392,0.00001612,-0.00005975,0.00000102,0.00001066,0.00047804,0.00019761,-0.00000504,0.00000628,-0.00287588,0.00000153,0.00002620,0.00006939,0.00000935,0.00013834,-0.00008911,0.00003414,0.00008376,-0.00005420,-0.00009119,-0.00003957,-0.00013254,-0.00011189,0.00446687,0.00276650,0.00277884,0.00277746,0.00001237,-0.00002680,0.00000380,-0.00000030,0.00007804,0.00003963,-0.00000103,0.00000181,-0.00122884,-0.00001400,-0.00000927,-0.00001909,0.00002153,0.00019265,-0.00009238,-0.00003606,0.00000196,-0.00000055,-0.00008923,-0.00005031,-0.00019153,-0.00008687,0.00420985,0.00265031,0.00264081,0.00264042,0.00002063,-0.00005398,0.00000483,0.00001931,-0.00157543,-0.00026717,0.00002358,0.00000162
-0.00631314,0.00000273,0.00004262,0.00012602,-0.00021133,0.00023853,-0.00010695,0.00020832,0.00041769,-0.00008126,-0.00014151,0.00005410,-0.00043855,-0.00052840,0.00618171,0.00916301,0.00624781,0.00625576,0.00000997,-0.00005300,-0.00000536,0.00002162,-0.00006411,0.00023441,0.00000216,0.00000307,-0.00275491,0.00000059,0.00004565,0.00006073,-0.00004481,0.00012953,-0.00002220,0.00009020,0.00029372,-0.00016901,-0.00010358,0.00001078,-0.00018826,-0.00023399,0.00277543,0.00403668,0.00281420,0.00280957,0.00001185,-0.00003949,0.00000135,0.00000354,-0.00005959,0.00004064,0.00000085,0.00000063,-0.00113106,-0.00001513,-0.00001960,0.00000504,-0.00002649,0.00014278,-0.00002733,0.00000615,0.00000152,-0.00000006,-0.00008817,-0.00001969,-0.00022811,-0.00020980,0.00265966,0.00381510,0.00267035,0.00266312,0.00001860,-0.00006175,0.00000497,0.00002310,-0.00149149,-0.00021436,0.00002188,0.00000056
-0.00626305,0.00000474,0.00005906,0.00011739,-0.00005910,0.00024101,-0.00007163,-0.00005835,0.00025333,0.00005862,-0.00023204,-0.00003621,-0.00036708,-0.00087780,0.00617660,0.00624781,0.00860234,0.00627958,0.00001045,-0.00006578,0.00000735,0.00000327,0.00011131,0.00004290,-0.00000445,0.00000400,-0.00282993,0.00000291,0.00005450,0.00006128,-0.00000643,0.00011390,-0.00000375,-0.00003344,0.00022220,-0.00000622,-0.00014214,-0.00004615,-0.00015555,-0.00041108,0.00277778,0.00280861,0.00383462,0.00282929,-0.00000092,-0.00001364,0.00000466,-0.00000089,-0.00000126,-0.00005294,-0.00000167,0.00000186,-0.00107860,-0.00001470,0.00000614,-0.00002339,0.00001361,0.00014959,-0.00003637,-0.00006498,0.00000152,0.00000021,-0.00012829,-0.00006309,-0.00018113,-0.00028028,0.00266156,0.00267594,0.00359902,0.00267874,0.00002085,-0.00006328,0.00000772,0.00001370,-0.00141744,-0.00027331,0.00001866,0.00000011
-0.00697053,0.00001458,0.00001028,0.00011443,-0.00014026,0.00021754,-0.00019243,0.00007791,0.00049794,-0.00030252,-0.00012534,-0.00008550,-0.00032782,-0.00062854,0.00618392,0.00625576,0.00627958,0.00853824,0.00001540,-0.00006177,-0.00000099,-0.00000088,0.00004563,0.00017249,-0.00000276,0.00000153,-0.00315713,0.00000696,0.00004931,0.00006938,-0.00003507,0.00011110,-0.00004553,0.00004643,0.00030406,-0.00019126,-0.00007204,-0.00003861,-0.00014782,-0.00026716,0.00277544,0.00280471,0.00283002,0.00376794,-0.00000500,-0.00000759,0.00000182,-0.00000320,-0.00002555,-0.00000120,-0.00000047,0.00000103,-0.00140292,-0.00001035,-0.00000002,0.00001795,-0.00000183,0.00015089,-0.00007848,-0.00003964,0.00000174,-0.00000031,-0.00008678,-0.00004860,-0.00021710,-0.00024580,0.00267470,0.00268593,0.00269469,0.00359177,0.00001093,-0.00003065,0.00000011,0.00002933,-0.00172832,-0.00030288,0.00002491,0.00000100
-0.00014666,-0.00000090,-0.00000680,0.00004014,0.00005015,-0.00000589,0.00002418,0.00000038,0.00002393,-0.00000042,0.00001334,0.00004119,-0.00000908,-0.00008472,0.00001612,0.00000997,0.00001045,0.00001540,0.00014450,-0.00018373,-0.00000985,0.00003529,-0.00006189,-0.00000244,0.00000047,0.00000034,-0.00003568,-0.00000081,-0.00000476,0.00001793,0.00002759,0.00000126,0.00001376,0.00000171,0.00002377,0.00001265,0.00000289,0.00001363,-0.00000031,-0.00002266,0.00000923,0.00000757,-0.00000060,-0.00000189,0.00006745,-0.00010217,-0.00000393,0.00001577,-0.00003106,-0.00001199,0.00000020,0.00000035,-0.00005399,-0.00000062,-0.00000528,0.00001727,0.00002399,-0.00000042,0.00000983,0.00000084,0.00000004,-0.00000010,0.00000312,0.00001563,0.00000283,-0.00003068,0.00001072,0.00000690,0.00000072,0.00000574,0.00006987,-0.00009536,-0.00000710,0.00001822,-0.00004875,-0.00001465,0.00000060,0.00000039
0.00041545,-0.00000255,0.00001023,-0.00008533,-0.00006721,0.00000776,-0.00003424,-0.00004699,-0.00005803,-0.00002194,0.00001666,-0.00001336,0.00005099,0.00013439,-0.00005975,-0.00005300,-0.00006578,-0.00006177,-0.00018373,0.00042127,-0.00000585,-0.00004564,0.00008307,0.00003277,-0.00000381,-0.00000241,0.00017549,-0.00000099,0.00001075,-0.00004588,-0.00004101,-0.00001413,-0.00002083,-0.00002593,-0.00006031,-0.00003134,0.00001079,0.00000074,0.00002257,0.00004764,-0.00002975,-0.00003356,-0.00002112,-0.00001401,-0.00008881,0.00024541,-0.00000132,-0.00002643,0.00006718,0.00003480,-0.00000230,-0.00000153,0.00014543,-0.00000062,0.00001240,-0.00004587,-0.00003716,-0.00001354,-0.00001151,-0.00001894,-0.00000011,0.00000027,0.00001178,-0.00000466,0.00001986,0.00005981,-0.00002804,-0.00002454,-0.00001309,-0.00002173,-0.00009351,0.00024307,0.00000073,-0.00002619,0.00013000,0.00004647,-0.00000346,-0.00000179
