meanlog,sdlog,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
-0.0274319,0.0001003,0.0000102,0.0012864,0.0000996,0.0002075,-0.0002377,-0.0012713,0.0003695,0.0015313,0.0001691,0.0002484,-0.0005466,-0.0024331,-0.0051919,0.0289022,0.0289150,0.0457046,0.0293606,-0.0000637,-0.0002944,-0.0000848,0.0004127,0.0011381,0.0011728,-0.0000322,-0.0000207
-0.0314833,0.0000504,0.0000552,0.0014917,-0.0002634,-0.0008172,-0.0004704,-0.0010498,0.0001551,0.0020515,-0.0007489,0.0002437,-0.0008109,-0.0015307,-0.0045207,0.0287562,0.0288988,0.0293606,0.0437048,0.0001278,-0.0004263,-0.0001152,0.0004422,-0.0006696,0.0020838,0.0000048,-0.0000276
0.0016504,0.0000910,-0.0000116,-0.0000277,0.0003118,0.0003362,0.0000955,-0.0000087,-0.0003697,0.0000575,-0.0001616,0.0000090,0.0002365,-0.0002850,-0.0005189,-0.0000738,-0.0001142,-0.0000637,0.0001278,0.0018446,-0.0016664,-0.0000509,0.0001294,-0.0000719,-0.0000079,-0.0000007,0.0000034
-0.0029779,-0.0002568,0.0000071,0.0000944,-0.0007479,-0.0006640,0.0001066,-0.0002369,-0.0000598,0.0003617,0.0002722,0.0001077,-0.0002406,0.0003899,0.0004568,-0.0001749,0.0000724,-0.0002944,-0.0004263,-0.0016664,0.0028898,-0.0000726,0.0000182,-0.0003511,-0.0002062,-0.0000087,-0.0000072
0.0008194,0.0000438,-0.0000048,0.0000103,-0.0000423,-0.0000078,-0.0000387,-0.0000065,-0.0000712,-0.0000819,-0.0001851,-0.0001655,0.0000294,-0.0000210,-0.0002236,-0.0000413,-0.0001064,-0.0000848,-0.0001152,-0.0000509,-0.0000726,0.0001229,-0.0002497,-0.0001620,-0.0001142,0.0000034,0.0000026
-0.0026421,-0.0001298,0.0000121,-0.0001318,-0.0000421,-0.0000673,0.0000272,-0.0001864,0.0001949,-0.0000777,-0.0004667,0.0001370,-0.0000912,-0.0000100,0.0002113,0.0002962,0.0003824,0.0004127,0.0004422,0.0001294,0.0000182,-0.0002497,0.0008550,-0.0002820,-0.0000074,0.0000059,0.0000038
-0.1987111,-0.0002930,0.0021355,-0.0012195,-0.0016600,0.0032125,0.0029514,0.0033706,0.0023334,0.0003184,-0.0026586,-0.0021689,0.0032156,0.0002135,0.0001188,0.0017381,0.0012940,0.0011381,-0.0006696,-0.0000719,-0.0003511,-0.0001620,-0.0002820,0.3140807,0.0361180,-0.0055167,-0.0002754
-0.0372703,0.0004176,0.0003053,-0.0062340,0.0004724,-0.0001192,-0.0006090,0.0012128,-0.0009024,0.0023572,-0.0012170,-0.0010788,-0.0008746,-0.0003672,-0.0001627,0.0003845,0.0003750,0.0011728,0.0020838,-0.0000079,-0.0002062,-0.0001142,-0.0000074,0.0361180,0.0814308,-0.0002681,-0.0014398
0.0027649,-0.0000021,-0.0000338,-0.0000346,0.0000862,-0.0000456,-0.0000376,-0.0000512,0.0000113,0.0000259,0.0000578,0.0000323,-0.0000368,-0.0000105,0.0000055,-0.0000204,-0.0000238,-0.0000322,0.0000048,-0.0000007,-0.0000087,0.0000034,0.0000059,-0.0055167,-0.0002681,0.0001097,0.0000048
0.0001066,-0.0000164,-0.0000038,0.0000322,0.0000204,-0.0000019,0.0000105,-0.0000386,0.0000442,-0.0000342,0.0000153,0.0000362,0.0000160,0.0000108,-0.0000089,0.0000266,0.0000158,-0.0000207,-0.0000276,0.0000034,-0.0000072,0.0000026,0.0000038,-0.0002754,-0.0014398,0.0000048,0.0000394
