shape,scale,age_dx,sexM,c_chf1,c_ihd1,c_cancer1,c_dm1,c_asthma1,c_dementia1,c_depression1,c_anxiety1,c_htn1,rio_cat2.10-44,rio_cat3.45+,deprivationQ2,deprivationQ3,deprivationQ4,deprivationQ5,ned_c,nhosp_c,ned_o,nhosp_o,smoking_current,smoking_former,smoking_current:smk_time_dx,smoking_former:smk_time_dx
-0.0000002,-0.0004380,0.0000002,0.0000226,0.0000117,0.0000038,0.0000017,-0.0000174,-0.0000002,0.0000166,0.0000333,-0.0000019,-0.0000013,-0.0000240,-0.0000665,0.0004279,0.0004246,0.0006475,0.0004321,0.0000004,-0.0000058,-0.0000008,0.0000053,0.0000059,0.0000192,-0.0000002,-0.0000004
-0.0000003,-0.0004638,0.0000005,0.0000283,-0.0000006,-0.0000051,-0.0000051,-0.0000226,-0.0000027,0.0000083,0.0000179,-0.0000015,-0.0000012,-0.0000137,-0.0000569,0.0004254,0.0004249,0.0004321,0.0006210,0.0000023,-0.0000065,-0.0000009,0.0000047,-0.0000239,0.0000242,0.0000004,-0.0000002
0.0000000,0.0000024,-0.0000001,-0.0000002,0.0000003,0.0000040,0.0000046,-0.0000014,-0.0000096,0.0000025,-0.0000001,0.0000012,0.0000012,-0.0000053,-0.0000095,0.0000017,0.0000026,0.0000004,0.0000023,0.0000374,-0.0000265,-0.0000012,0.0000023,-0.0000018,0.0000003,0.0000000,0.0000000
-0.0000002,0.0000293,-0.0000003,0.0000014,-0.0000141,-0.0000143,-0.0000046,-0.0000029,0.0000010,-0.0000099,0.0000009,-0.0000004,-0.0000024,0.0000024,0.0000070,-0.0000068,-0.0000029,-0.0000058,-0.0000065,-0.0000265,0.0000633,-0.0000001,-0.0000027,0.0000023,0.0000038,-0.0000004,-0.0000004
0.0000000,0.0000028,0.0000000,-0.0000002,0.0000003,0.0000002,0.0000003,0.0000000,-0.0000005,0.0000016,-0.0000026,-0.0000020,0.0000003,0.0000000,-0.0000023,-0.0000007,-0.0000007,-0.0000008,-0.0000009,-0.0000012,-0.0000001,0.0000007,-0.0000015,-0.0000020,-0.0000019,0.0000000,0.0000001
-0.0000001,-0.0000154,0.0000000,-0.0000005,-0.0000024,-0.0000011,-0.0000020,-0.0000027,0.0000018,-0.0000118,-0.0000008,0.0000024,-0.0000012,0.0000000,0.0000021,0.0000037,0.0000039,0.0000053,0.0000047,0.0000023,-0.0000027,-0.0000015,0.0000089,-0.0000075,0.0000013,0.0000001,0.0000000
-0.0000018,-0.0019734,0.0000227,-0.0000128,-0.0000014,0.0000265,0.0000277,0.0000128,0.0000392,0.0000266,-0.0000937,-0.0000356,0.0000483,-0.0000124,-0.0000079,0.0000109,0.0000100,0.0000059,-0.0000239,-0.0000018,0.0000023,-0.0000020,-0.0000075,0.0033982,0.0004707,-0.0000638,-0.0000050
0.0000005,-0.0005533,0.0000042,-0.0000705,0.0000001,0.0000034,0.0000063,0.0000124,-0.0000056,0.0000395,-0.0000503,-0.0000040,-0.0000061,0.0000007,-0.0000205,0.0000289,0.0000119,0.0000192,0.0000242,0.0000003,0.0000038,-0.0000019,0.0000013,0.0004707,0.0009413,-0.0000037,-0.0000174
0.0000000,0.0000295,-0.0000004,-0.0000005,0.0000007,-0.0000003,-0.0000004,0.0000000,0.0000002,-0.0000004,0.0000016,0.0000008,-0.0000005,0.0000002,0.0000002,0.0000002,-0.0000002,-0.0000002,0.0000004,0.0000000,-0.0000004,0.0000000,0.0000001,-0.0000638,-0.0000037,0.0000014,0.0000001
0.0000000,0.0000064,-0.0000001,0.0000002,0.0000002,-0.0000002,-0.0000004,-0.0000006,0.0000007,-0.0000005,0.0000005,0.0000004,0.0000001,0.0000001,0.0000003,-0.0000001,0.0000000,-0.0000004,-0.0000002,0.0000000,-0.0000004,0.0000001,0.0000000,-0.0000050,-0.0000174,0.0000001,0.0000005
