4:(Intercept),4:age_dx,4:sexM,4:c_chf1,4:c_ihd1,4:c_cancer1,4:c_dm1,4:c_asthma1,4:c_dementia1,4:c_depression1,4:c_anxiety1,4:c_htn1,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,4:smoking_current,4:smoking_former,4:smoking_current:smk_time_dx,4:smoking_former:smk_time_dx,5:(Intercept),5:age_dx,5:sexM,5:c_chf1,5:c_ihd1,5:c_cancer1,5:c_dm1,5:c_asthma1,5:c_dementia1,5:c_depression1,5:c_anxiety1,5:c_htn1,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,5:smoking_current,5:smoking_former,5:smoking_current:smk_time_dx,5:smoking_former:smk_time_dx,7:(Intercept),7:age_dx,7:sexM,7:c_chf1,7:c_ihd1,7:c_cancer1,7:c_dm1,7:c_asthma1,7:c_dementia1,7:c_depression1,7:c_anxiety1,7:c_htn1,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o,7:smoking_current,7:smoking_former,7:smoking_current:smk_time_dx,7:smoking_former:smk_time_dx
-0.00115550,0.00000898,0.00018216,-0.00002221,-0.00002707,-0.00009363,0.00010380,-0.00011013,-0.00054972,-0.00076568,0.00297476,-0.00006705,0.00011796,0.00012742,-0.00004012,0.00005244,-0.00001268,0.00001046,0.00000116,0.00000772,-0.00001777,0.00002607,-0.00025032,-0.00003112,0.00000403,0.00000218,-0.00008912,0.00000073,0.00001407,-0.00000447,-0.00000406,-0.00000626,0.00000519,-0.00000152,-0.00004736,-0.00004646,0.00017921,-0.00000289,0.00000785,0.00000789,-0.00000103,0.00000001,-0.00000600,-0.00000054,0.00000117,-0.00000046,-0.00000087,0.00000082,-0.00001033,-0.00000008,0.00000026,0.00000020,-0.00010863,0.00000084,0.00001444,-0.00001299,-0.00000289,-0.00000670,0.00000680,-0.00000487,-0.00007257,-0.00005259,0.00024241,-0.00000072,0.00001760,0.00001395,0.00000493,0.00000035,-0.00000452,-0.00000319,-0.00000124,-0.00000065,-0.00000044,0.00000131,-0.00001310,-0.00000270,0.00000020,0.00000016
-0.00003316,-0.00001863,0.00010741,-0.00018110,-0.00025249,-0.00005753,-0.00037770,-0.00001203,-0.00014701,0.00006916,-0.00006705,0.00227500,0.00000481,-0.00004336,-0.00004018,0.00000953,-0.00003704,-0.00004746,0.00000714,0.00000721,0.00000777,-0.00002995,0.00042474,-0.00009285,-0.00000409,0.00000239,0.00002599,-0.00000144,0.00000503,-0.00001012,-0.00002283,-0.00000383,-0.00002805,-0.00000303,-0.00000703,0.00000557,-0.00000294,0.00013941,0.00000054,-0.00000266,-0.00000188,0.00000146,-0.00000120,-0.00000100,0.00000095,0.00000115,-0.00000009,-0.00000103,0.00001812,-0.00000349,-0.00000003,0.00000011,0.00002304,-0.00000188,0.00000666,-0.00000847,-0.00002940,-0.00000714,-0.00003460,-0.00000044,-0.00000782,0.00000847,0.00000080,0.00018609,0.00000787,-0.00000079,-0.00000161,0.00000022,-0.00000850,0.00000128,-0.00000016,0.00000320,-0.00000023,-0.00000064,0.00000892,-0.00000853,0.00000029,0.00000027
-0.00091220,0.00000242,-0.00003321,0.00004883,-0.00004309,0.00001392,0.00001358,0.00004801,0.00008838,-0.00002006,0.00011796,0.00000481,0.00206939,0.00096892,-0.00032830,-0.00034813,-0.00029411,-0.00020771,-0.00003042,0.00005117,-0.00000255,0.00001215,0.00006446,-0.00005835,-0.00000174,0.00000185,-0.00006147,0.00000001,-0.00000434,0.00000233,-0.00000124,0.00000322,0.00000189,0.00000549,0.00000220,-0.00000336,0.00000789,0.00000105,0.00015308,0.00008047,-0.00002465,-0.00002548,-0.00002125,-0.00001395,-0.00000245,0.00000135,0.00000001,0.00000095,0.00000351,-0.00000343,-0.00000017,0.00000005,-0.00012513,0.00000043,-0.00000543,0.00000869,-0.00000207,0.00000814,0.00000224,0.00001267,0.00000204,-0.00000819,0.00001687,0.00000946,0.00021170,0.00011694,-0.00004050,-0.00004189,-0.00003687,-0.00001984,-0.00000389,0.00000589,-0.00000089,0.00000207,0.00001284,-0.00000928,-0.00000019,0.00000035
-0.00098529,0.00000680,-0.00007301,0.00006846,-0.00000917,0.00006750,-0.00003123,0.00015732,0.00012630,0.00001573,0.00012742,-0.00004336,0.00096892,0.00345087,-0.00032565,-0.00035563,-0.00058378,-0.00044961,-0.00006347,0.00008580,-0.00003248,0.00004815,0.00015051,-0.00007974,-0.00000113,0.00000090,-0.00004050,0.00000005,-0.00000381,0.00000121,-0.00000034,0.00000099,-0.00000204,0.00001338,-0.00000008,0.00000126,0.00000807,-0.00000219,0.00008088,0.00019701,-0.00002834,-0.00002877,-0.00004747,-0.00003339,-0.00000611,0.00000151,-0.00000112,0.00000291,0.00001617,-0.00000323,-0.00000041,-0.00000008,-0.00017964,0.00000149,-0.00000189,0.00001253,0.00000159,-0.00000352,-0.00000376,0.00002493,-0.00000940,-0.00000102,0.00000945,0.00000090,0.00011725,0.00029464,-0.00004471,-0.00004471,-0.00006972,-0.00003735,-0.00001197,0.00001653,-0.00000356,0.00000316,0.00008455,-0.00000079,-0.00000150,0.00000019
-0.00396100,0.00000280,0.00006959,0.00000797,0.00002855,-0.00009701,-0.00011436,-0.00007522,-0.00000312,0.00022193,-0.00004012,-0.00004018,-0.00032830,-0.00032565,0.00661475,0.00387917,0.00390348,0.00388369,0.00000596,-0.00005215,-0.00000277,0.00000636,0.00035656,0.00007642,-0.00000432,0.00000335,-0.00029712,0.00000007,0.00000378,0.00000730,0.00000498,-0.00000407,-0.00000593,-0.00000413,0.00001170,0.00000868,0.00000006,-0.00000195,-0.00002418,-0.00003005,0.00049471,0.00029964,0.00030345,0.00030014,0.00000194,-0.00000190,-0.00000021,0.00000125,0.00001192,0.00000268,-0.00000012,0.00000016,-0.00035968,-0.00000002,0.00000780,-0.00000217,0.00001008,-0.00000545,-0.00000732,-0.00001011,0.00000856,0.00003344,0.00000582,-0.00000245,-0.00003868,-0.00004076,0.00063174,0.00037991,0.00038273,0.00037731,0.00000229,-0.00001396,0.00000183,0.00000033,-0.00001183,0.00001315,0.00000024,-0.00000018
-0.00399530,0.00000363,0.00009858,-0.00005339,-0.00006823,-0.00004112,-0.00008467,0.00007681,0.00005208,-0.00002864,0.00005244,0.00000953,-0.00034813,-0.00035563,0.00387917,0.00602946,0.00389741,0.00389242,-0.00000098,-0.00001045,-0.00000437,0.00000812,0.00005240,0.00006595,-0.00000089,0.00000119,-0.00029651,0.00000017,0.00000716,0.00000246,-0.00000285,-0.00000443,-0.00000182,0.00000476,0.00001204,-0.00001128,0.00000003,0.00000133,-0.00002516,-0.00002885,0.00030002,0.00043931,0.00030248,0.00030098,0.00000126,-0.00000173,-0.00000055,0.00000093,0.00000824,-0.00000432,-0.00000021,0.00000015,-0.00037860,0.00000039,0.00000924,-0.00000621,-0.00000505,-0.00000300,-0.00000621,0.00000164,0.00001201,-0.00001061,-0.00000128,-0.00000022,-0.00004226,-0.00004445,0.00038056,0.00056196,0.00038488,0.00038181,0.00000097,-0.00000646,0.00000015,0.00000092,-0.00000414,0.00000626,0.00000007,-0.00000011
-0.00406198,0.00000484,0.00014847,0.00001386,0.00006052,-0.00000942,-0.00013251,-0.00000873,0.00012987,0.00011525,-0.00001268,-0.00003704,-0.00029411,-0.00058378,0.00390348,0.00389741,0.00560256,0.00393461,0.00002339,-0.00005596,-0.00000925,0.00002843,0.00013739,0.00010675,-0.00000292,-0.00000177,-0.00029488,0.00000014,0.00001042,0.00000515,0.00000476,-0.00000183,-0.00000869,-0.00000438,0.00001868,0.00000934,-0.00000526,-0.00000158,-0.00002042,-0.00004721,0.00030340,0.00030184,0.00042347,0.00030572,0.00000134,-0.00000195,-0.00000045,0.00000225,-0.00000732,-0.00000287,0.00000008,0.00000002,-0.00038488,0.00000050,0.00001347,-0.00000017,0.00000800,-0.00000526,-0.00001843,-0.00000706,0.00001599,0.00001600,-0.00000513,-0.00001040,-0.00003845,-0.00007125,0.00038475,0.00038528,0.00054693,0.00038694,0.00000555,-0.00000766,-0.00000079,0.00000435,-0.00001215,0.00001654,0.00000022,-0.00000044
-0.00430581,0.00000826,0.00015899,-0.00001468,-0.00005073,-0.00004985,-0.00012508,-0.00002694,0.00013814,-0.00002312,0.00001046,-0.00004746,-0.00020771,-0.00044961,0.00388369,0.00389242,0.00393461,0.00533574,0.00003082,-0.00004681,-0.00001052,0.00001188,-0.00009434,0.00017622,0.00000104,-0.00000171,-0.00031538,0.00000035,0.00001512,0.00000449,0.00000065,-0.00000069,-0.00000996,-0.00000216,0.00001555,0.00000065,0.00000012,-0.00000143,-0.00001311,-0.00003337,0.00030043,0.00030077,0.00030595,0.00040293,0.00000151,-0.00000059,-0.00000061,0.00000136,-0.00001371,0.00000564,0.00000019,-0.00000010,-0.00042663,0.00000087,0.00002062,-0.00000309,0.00000375,-0.00000334,-0.00001965,-0.00000583,0.00000752,-0.00000288,-0.00000270,-0.00000143,-0.00002030,-0.00004071,0.00037855,0.00038072,0.00038642,0.00052798,0.00000749,-0.00000484,-0.00000157,0.00000243,-0.00001746,0.00002427,0.00000027,-0.00000050
-0.00003921,0.00000029,0.00000671,0.00003771,0.00003143,0.00001738,-0.00000165,-0.00003932,0.00000603,-0.00003009,0.00000116,0.00000714,-0.00003042,-0.00006347,0.00000596,-0.00000098,0.00002339,0.00003082,0.00018277,-0.00016186,-0.00000941,0.00001833,0.00001596,0.00001346,-0.00000001,0.00000035,0.00000481,-0.00000009,-0.00000038,0.00000181,0.00000318,0.00000275,0.00000018,-0.00000334,0.00000144,0.00000025,0.00000073,0.00000092,-0.00000207,-0.00000454,0.00000089,0.00000082,0.00000077,0.00000102,0.00001591,-0.00001593,-0.00000054,0.00000140,-0.00000282,-0.00000078,0.00000003,0.00000006,0.00002965,-0.00000034,-0.00000403,0.00000200,0.00000539,0.00000215,-0.00000206,-0.00001155,0.00000621,0.00000987,-0.00000148,-0.00000026,-0.00000369,-0.00001313,0.00000450,-0.00000015,0.00000491,0.00000744,0.00003511,-0.00002109,-0.00000329,0.00000452,-0.00002923,-0.00000244,0.00000050,0.00000001
0.00026905,-0.00000286,-0.00000694,-0.00009004,-0.00006379,-0.00001316,-0.00000679,0.00001769,-0.00002348,0.00000945,0.00000772,0.00000721,0.00005117,0.00008580,-0.00005215,-0.00001045,-0.00005596,-0.00004681,-0.00016186,0.00031723,-0.00001039,-0.00001650,-0.00003589,-0.00001336,-0.00000170,-0.00000153,0.00001592,-0.00000019,0.00000087,-0.00001039,-0.00000890,-0.00000374,-0.00000297,-0.00000296,-0.00000229,0.00000052,0.00000017,0.00000005,0.00000187,0.00000304,-0.00000233,-0.00000096,-0.00000182,-0.00000091,-0.00001193,0.00004108,-0.00000028,-0.00000191,0.00000519,0.00000259,-0.00000031,-0.00000021,0.00001835,-0.00000014,-0.00000153,-0.00001301,-0.00001369,-0.00000760,-0.00000174,-0.00000276,-0.00000892,-0.00000563,0.00000129,0.00000007,0.00000203,0.00000749,-0.00000854,-0.00000436,-0.00000654,-0.00000381,-0.00002545,0.00006789,-0.00000083,-0.00000463,0.00001963,0.00000658,-0.00000069,-0.00000035
