4:(Intercept),4:age_dx,4:sexM,4:smokingY,4:c_chf,4:c_ihd,4:c_cancer,4:c_dm,4:c_asthma,4:c_dementia,4:c_depression,4:c_anxiety,4:c_htn,4:rio_cat2.10-44,4:rio_cat3.45+,4:deprivationQ2,4:deprivationQ3,4:deprivationQ4,4:deprivationQ5,4:ned_c,4:nhosp_c,4:ned_o,4:nhosp_o,5:(Intercept),5:age_dx,5:sexM,5:smokingY,5:c_chf,5:c_ihd,5:c_cancer,5:c_dm,5:c_asthma,5:c_dementia,5:c_depression,5:c_anxiety,5:c_htn,5:rio_cat2.10-44,5:rio_cat3.45+,5:deprivationQ2,5:deprivationQ3,5:deprivationQ4,5:deprivationQ5,5:ned_c,5:nhosp_c,5:ned_o,5:nhosp_o,7:(Intercept),7:age_dx,7:sexM,7:smokingY,7:c_chf,7:c_ihd,7:c_cancer,7:c_dm,7:c_asthma,7:c_dementia,7:c_depression,7:c_anxiety,7:c_htn,7:rio_cat2.10-44,7:rio_cat3.45+,7:deprivationQ2,7:deprivationQ3,7:deprivationQ4,7:deprivationQ5,7:ned_c,7:nhosp_c,7:ned_o,7:nhosp_o
-0.0022342,0.0000273,0.0000956,0.0000305,-0.0000432,-0.0000387,0.0000149,0.0000028,0.0000929,-0.0038312,0.0107315,-0.0008034,-0.0001328,0.0000676,0.0001342,0.0001856,0.0000684,0.0001275,0.0000614,-0.0000033,-0.0000019,-0.0000248,0.0000016,-0.0006741,0.0000089,0.0000268,-0.0000473,-0.0000252,0.0000154,0.0000011,-0.0000157,0.0000167,-0.0020845,0.0049467,-0.0003366,-0.0000602,0.0000423,0.0000645,0.0000673,-0.0000140,0.0000575,0.0000282,0.0000145,-0.0000243,-0.0000093,-0.0000053,-0.0004103,0.0000055,0.0000416,-0.0000514,-0.0000815,0.0000023,0.0000011,-0.0000195,0.0000649,-0.0022631,-0.0000060,-0.0003427,-0.0000745,0.0000845,0.0001336,0.0000659,0.0000056,0.0000461,0.0000307,0.0000137,-0.0000449,-0.0000042,-0.0000121
-0.0012543,0.0000115,0.0002706,-0.0000458,-0.0000347,-0.0000119,-0.0002416,0.0000444,-0.0000936,-0.0007604,-0.0008034,0.0033902,-0.0000306,0.0001145,0.0001411,-0.0001306,-0.0000961,-0.0002046,-0.0001504,0.0000065,0.0000198,-0.0000242,0.0000142,-0.0005622,0.0000051,0.0001164,-0.0000049,-0.0000191,-0.0000138,-0.0001129,0.0000137,-0.0000402,-0.0003685,-0.0003332,0.0014048,-0.0000029,0.0000607,0.0000725,-0.0000594,-0.0000531,-0.0000995,-0.0000676,0.0000006,0.0000117,-0.0000087,0.0000002,-0.0009280,0.0000093,0.0001252,0.0000425,0.0000187,0.0000000,-0.0001462,0.0000299,-0.0000479,-0.0003156,-0.0000018,0.0014838,-0.0000031,0.0000064,-0.0000214,-0.0000548,-0.0000359,-0.0000853,-0.0000811,-0.0000094,0.0000352,-0.0000149,0.0000180
0.0005411,-0.0000250,0.0001157,0.0000596,-0.0002646,-0.0002647,0.0000147,-0.0004262,-0.0000564,-0.0001288,-0.0001328,-0.0000306,0.0023098,-0.0000306,-0.0000462,-0.0000374,0.0000686,-0.0000440,-0.0000376,0.0000257,0.0000078,0.0000012,-0.0000341,0.0003239,-0.0000112,0.0000376,0.0000340,-0.0001069,-0.0001257,0.0000130,-0.0001953,-0.0000210,-0.0000570,-0.0000476,-0.0000043,0.0009377,-0.0000231,-0.0000305,-0.0000343,0.0000254,-0.0000427,-0.0000289,0.0000075,0.0000112,-0.0000005,-0.0000125,0.0003437,-0.0000118,0.0000368,0.0000270,-0.0001168,-0.0001386,0.0000126,-0.0002072,-0.0000193,-0.0000705,0.0000007,-0.0000122,0.0010032,-0.0000218,-0.0000242,-0.0000390,0.0000141,-0.0000564,-0.0000278,0.0000102,0.0000080,0.0000013,-0.0000133
-0.0013001,0.0000035,-0.0000083,0.0000499,-0.0000023,-0.0000209,-0.0000337,0.0000345,0.0000152,-0.0000260,0.0000676,0.0001145,-0.0000306,0.0023411,0.0012866,-0.0002497,-0.0003659,-0.0002908,-0.0002372,-0.0000133,0.0000446,-0.0000047,0.0000149,-0.0004891,-0.0000001,0.0000021,-0.0000009,-0.0000277,-0.0000107,-0.0000229,0.0000193,0.0000342,-0.0000474,0.0000236,0.0000673,-0.0000231,0.0010592,0.0006405,-0.0001207,-0.0001728,-0.0001276,-0.0001106,-0.0000046,0.0000100,-0.0000007,0.0000028,-0.0007761,0.0000026,0.0000077,0.0000163,0.0000080,-0.0000075,-0.0000152,0.0000228,0.0000264,0.0000074,-0.0000015,0.0000489,-0.0000193,0.0011385,0.0006867,-0.0001308,-0.0001670,-0.0001298,-0.0001149,-0.0000085,0.0000428,-0.0000071,0.0000166
-0.0010480,0.0000030,-0.0001128,0.0000688,0.0000059,0.0000828,0.0001082,0.0000778,0.0001347,0.0000494,0.0001342,0.0001411,-0.0000462,0.0012866,0.0038056,-0.0002165,-0.0004459,-0.0006812,-0.0004637,-0.0000623,0.0001009,-0.0000281,0.0000504,-0.0003288,-0.0000011,-0.0000366,0.0000198,-0.0000174,0.0000247,0.0000373,0.0000275,0.0000971,-0.0000024,0.0000268,0.0000786,-0.0000272,0.0006441,0.0013532,-0.0000942,-0.0002239,-0.0003039,-0.0001977,-0.0000229,0.0000283,-0.0000087,0.0000203,-0.0004716,0.0000004,-0.0000431,0.0000211,0.0000006,0.0000321,0.0000492,0.0000279,0.0000805,0.0000340,-0.0000008,0.0000654,-0.0000259,0.0006687,0.0014498,-0.0000977,-0.0002148,-0.0003091,-0.0001969,-0.0000307,0.0000494,-0.0000107,0.0000244
-0.0049615,0.0000060,0.0000155,0.0001841,0.0001228,-0.0000608,0.0001499,-0.0001537,0.0000570,-0.0001148,0.0001856,-0.0001306,-0.0000374,-0.0002497,-0.0002165,0.0074942,0.0045734,0.0045699,0.0045704,0.0000157,-0.0000524,-0.0000021,0.0000138,-0.0023545,0.0000030,0.0000211,0.0000454,0.0000616,0.0000134,0.0000819,-0.0000401,0.0000341,0.0000023,0.0000551,-0.0000576,-0.0000341,-0.0001257,-0.0001089,0.0034790,0.0021610,0.0021644,0.0021615,0.0000084,-0.0000178,0.0000013,-0.0000005,-0.0022331,0.0000014,0.0000248,-0.0000137,0.0000265,0.0000091,0.0000763,-0.0000436,0.0000481,-0.0000038,-0.0000060,-0.0000384,-0.0000507,-0.0000811,-0.0000088,0.0035555,0.0022009,0.0021959,0.0022037,0.0000204,-0.0000534,0.0000002,0.0000089
-0.0050432,0.0000076,0.0000727,0.0001001,0.0001638,-0.0001469,0.0001774,-0.0001139,0.0001487,0.0000936,0.0000684,-0.0000961,0.0000686,-0.0003659,-0.0004459,0.0045734,0.0067952,0.0046286,0.0046205,-0.0000028,-0.0000313,-0.0000048,0.0000246,-0.0022783,0.0000026,0.0000571,-0.0000003,0.0000709,-0.0000334,0.0001034,-0.0000377,0.0000599,0.0001016,-0.0000293,-0.0000501,0.0000218,-0.0001667,-0.0002083,0.0021626,0.0031430,0.0021921,0.0021859,0.0000031,-0.0000232,0.0000003,0.0000050,-0.0021399,0.0000008,0.0000618,-0.0000575,0.0000467,-0.0000604,0.0001007,-0.0000434,0.0000804,0.0000899,-0.0000054,-0.0000255,-0.0000015,-0.0001219,-0.0001260,0.0022101,0.0032108,0.0022259,0.0022285,0.0000115,-0.0000486,0.0000011,0.0000094
-0.0049153,0.0000078,0.0001064,0.0000211,0.0001196,-0.0000917,0.0001466,-0.0000678,0.0000181,0.0000768,0.0001275,-0.0002046,-0.0000440,-0.0002908,-0.0006812,0.0045699,0.0046286,0.0064352,0.0046421,-0.0000060,-0.0000350,0.0000049,0.0000059,-0.0023224,0.0000040,0.0000749,-0.0000193,0.0000470,-0.0000193,0.0000736,-0.0000086,0.0000012,0.0000835,0.0000516,-0.0000961,-0.0000435,-0.0001295,-0.0003184,0.0021627,0.0021949,0.0029642,0.0022012,-0.0000081,-0.0000030,0.0000035,-0.0000019,-0.0020226,0.0000001,0.0000737,-0.0000945,0.0000043,-0.0000325,0.0000774,-0.0000198,0.0000262,0.0000637,-0.0000053,-0.0000690,-0.0000640,-0.0000722,-0.0001816,0.0022045,0.0022211,0.0030339,0.0022275,0.0000112,-0.0000468,0.0000048,0.0000003
-0.0053154,0.0000135,0.0000817,-0.0000277,0.0001274,-0.0001035,0.0001566,-0.0001653,0.0000459,0.0000899,0.0000614,-0.0001504,-0.0000376,-0.0002372,-0.0004637,0.0045704,0.0046205,0.0046421,0.0063786,0.0000052,-0.0000372,-0.0000031,0.0000052,-0.0024922,0.0000063,0.0000633,-0.0000377,0.0000511,-0.0000198,0.0000820,-0.0000508,0.0000301,0.0000747,0.0000166,-0.0000648,-0.0000276,-0.0001117,-0.0002004,0.0021599,0.0021891,0.0022012,0.0029258,-0.0000057,-0.0000001,0.0000000,-0.0000022,-0.0024529,0.0000054,0.0000678,-0.0000870,0.0000347,-0.0000339,0.0000924,-0.0000565,0.0000381,0.0000689,-0.0000061,-0.0000638,-0.0000399,-0.0000777,-0.0001294,0.0022084,0.0022328,0.0022329,0.0030132,0.0000025,-0.0000078,-0.0000045,0.0000109
-0.0001760,0.0000001,-0.0000004,-0.0000084,0.0000403,0.0000334,0.0000043,0.0000142,-0.0000004,0.0000337,-0.0000033,0.0000065,0.0000257,-0.0000133,-0.0000623,0.0000157,-0.0000028,-0.0000060,0.0000052,0.0001209,-0.0001450,-0.0000088,0.0000253,-0.0000554,-0.0000002,-0.0000014,-0.0000067,0.0000198,0.0000200,0.0000026,0.0000093,0.0000014,0.0000233,0.0000080,0.0000014,0.0000077,-0.0000060,-0.0000190,0.0000074,0.0000011,-0.0000067,-0.0000044,0.0000563,-0.0000820,-0.0000036,0.0000114,-0.0000901,0.0000001,-0.0000045,-0.0000055,0.0000206,0.0000205,0.0000035,0.0000046,-0.0000008,0.0000180,-0.0000001,0.0000006,0.0000128,-0.0000041,-0.0000303,0.0000127,0.0000036,0.0000015,0.0000007,0.0000658,-0.0000872,-0.0000064,0.0000148
